series,adf_stat,crit_1pct,crit_5pct,crit_10pct,lags,I1
dGDP: Eurozone,-8.528178993695002,-3.46,-2.88,-2.57,1,FALSE
dGDP: Denmark,-8.118269453765132,-3.46,-2.88,-2.57,1,FALSE
dGDP: Finland,-6.834701843856955,-3.46,-2.88,-2.57,1,FALSE
dGDP: Sweden,-7.839476632689331,-3.46,-2.88,-2.57,1,FALSE
dGDP: Iceland,-8.489962845694707,-3.46,-2.88,-2.57,1,FALSE
dHICP: Denmark,-4.695189049116823,-3.46,-2.88,-2.57,1,FALSE
dHICP: Eurozone,-4.0249357532297525,-3.46,-2.88,-2.57,1,FALSE
dHICP: Finland,-4.6583689294004476,-3.46,-2.88,-2.57,1,FALSE
dHICP: Iceland,-7.562549746925691,-3.46,-2.88,-2.57,1,FALSE
dHICP: Sweden,-3.4478400551841264,-3.46,-2.88,-2.57,1,FALSE
dOpenness: Eurozone,-8.449319907433896,-3.46,-2.88,-2.57,1,FALSE
dOpenness: Denmark,-7.031994710999612,-3.46,-2.88,-2.57,1,FALSE
dOpenness: Finland,-8.408358852596974,-3.46,-2.88,-2.57,1,FALSE
dOpenness: Sweden,-6.270153596238107,-3.46,-2.88,-2.57,1,FALSE
dOpenness: Iceland,-7.959005235591066,-3.46,-2.88,-2.57,1,FALSE
