series,adf_stat,crit_1pct,crit_5pct,crit_10pct,lags,I1
GDP: Eurozone,-0.9702439889383565,-3.46,-2.88,-2.57,1,TRUE
GDP: Denmark,0.7440397568631135,-3.46,-2.88,-2.57,1,TRUE
GDP: Finland,-2.502283000725363,-3.46,-2.88,-2.57,1,TRUE
GDP: Sweden,-0.752565321918025,-3.46,-2.88,-2.57,1,TRUE
GDP: Iceland,-0.643286790966568,-3.46,-2.88,-2.57,1,TRUE
HICP: Denmark,0.39354906805330214,-3.46,-2.88,-2.57,1,TRUE
HICP: Eurozone,1.7926799102830646,-3.46,-2.88,-2.57,1,TRUE
HICP: Finland,0.8003372631590594,-3.46,-2.88,-2.57,1,TRUE
HICP: Iceland,0.18014490159030166,-3.46,-2.88,-2.57,1,TRUE
HICP: Sweden,2.3324898746982403,-3.46,-2.88,-2.57,1,TRUE
Openness: Eurozone,-1.1917077744402556,-3.46,-2.88,-2.57,1,TRUE
Openness: Denmark,-1.442075685507208,-3.46,-2.88,-2.57,1,TRUE
Openness: Finland,-1.7526411134359943,-3.46,-2.88,-2.57,1,TRUE
Openness: Sweden,-0.4297300857350222,-3.46,-2.88,-2.57,1,TRUE
Openness: Iceland,-2.085355867833407,-3.46,-2.88,-2.57,1,TRUE
