pair,beta,r_squared,adf_resid,eg_crit_5pct,cointegrated
GDP: IS vs Eurozone,0.002470186984203716,0.9718416881280331,-4.319982357762513,-3.34,TRUE
GDP: IS vs Denmark,0.07814739901935758,0.9404802031331833,-1.7911386014619304,-3.34,FALSE
GDP: IS vs Sweden,0.038296563097661586,0.9454789592409357,-2.225346623016114,-3.34,FALSE
GDP: IS vs Finland,0.1314074190348877,0.8389696674274365,-1.255343407115465,-3.34,FALSE
HICP: IS vs Eurozone,1.698702781733271,0.928691751008672,-0.841271437075034,-3.34,FALSE
HICP: IS vs Denmark,2.0326408097387234,0.9579778862917304,-1.976100064058253,-3.34,FALSE
HICP: IS vs Sweden,1.7055825239348072,0.8999748169439965,-0.7883520533486221,-3.34,FALSE
HICP: IS vs Finland,1.8975359947161288,0.9631204829489661,-1.7014395375799,-3.34,FALSE
Openness: IS vs Eurozone,0.5360189601311548,0.4257751587663291,-2.78552545192256,-3.34,FALSE
Openness: IS vs Denmark,0.39991675833210755,0.35828374336680124,-2.807565627584445,-3.34,FALSE
Openness: IS vs Sweden,0.5558958286284128,0.3742347004794926,-2.611035169375586,-3.34,FALSE
Openness: IS vs Finland,0.702612027157422,0.36330658006117494,-2.730427879878099,-3.34,FALSE
